,word
0,asesinato
1,asno
2,bastardo
3,bollera
4,cabron
5,caca
6,chupada
7,chupapollas
8,chupetón
9,concha
10,concha de tu madre
11,coño
12,coprofagía
13,culo
14,drogas
15,esperma
16,fiesta de salchichas
17,follador
18,follar
19,gilipichis
20,gilipollas
21,hacer una paja
22,haciendo el amor
23,heroína
24,hija de puta
25,hijaputa
26,hijo de puta
27,hijoputa
28,idiota
29,imbécil
30,infierno
31,jilipollas
32,kapullo
33,lameculos
34,maciza
35,macizorra
36,maldito
37,mamada
38,marica
39,maricón
40,mariconazo
41,martillo
42,mierda
43,nazi
44,orina
45,pedo
46,pervertido
47,pezón
48,pinche
49,prostituta
50,puta
51,racista
52,ramera
53,sádico
54,semen
55,sexo
56,sexo oral
57,soplagaitas
58,soplapollas
59,tetas grandes
60,tía buena
61,travesti
62,trio
63,verga
64,vete a la mierda
65,vulva
